iter	Passed	Remaining
0	162	162250
1	164	81857
2	165	54933
3	166	41401
4	167	33338
5	168	27888
6	169	24008
7	170	21080
8	170	18813
9	171	17010
10	172	15518
11	173	14273
12	173	13210
13	174	12304
14	175	11516
15	176	10831
16	176	10221
17	177	9674
18	178	9196
19	178	8763
20	179	8367
21	180	8012
22	181	7689
23	181	7389
24	182	7112
25	183	6856
26	183	6622
27	184	6404
28	185	6210
29	186	6026
30	187	5846
31	187	5680
32	188	5525
33	189	5376
34	189	5237
35	190	5104
36	191	4979
37	191	4860
38	192	4748
39	193	4640
40	194	4541
41	194	4443
42	195	4349
43	196	4261
44	196	4176
45	197	4097
46	198	4020
47	198	3946
48	200	3882
49	200	3817
50	201	3754
51	202	3691
52	203	3631
53	204	3574
54	204	3517
55	205	3462
56	206	3410
57	206	3358
58	207	3311
59	208	3264
60	209	3219
61	209	3175
62	210	3132
63	211	3090
64	212	3050
65	212	3010
66	213	2971
67	214	2941
68	215	2905
69	216	2870
70	216	2835
71	217	2803
72	218	2770
73	218	2738
74	219	2707
75	220	2676
76	220	2648
77	221	2621
78	222	2593
79	223	2566
80	223	2540
81	224	2514
82	225	2486
83	225	2460
84	226	2437
85	227	2415
86	227	2392
87	228	2369
88	229	2348
89	230	2328
90	231	2307
91	231	2286
92	232	2266
93	233	2246
94	233	2226
95	234	2207
96	235	2189
97	235	2170
98	236	2152
99	237	2134
100	237	2116
101	238	2099
102	239	2082
103	239	2066
104	240	2050
105	241	2034
106	241	2019
107	242	2003
108	243	1989
109	244	1974
110	244	1961
111	245	1946
112	246	1932
113	246	1918
114	247	1904
115	248	1891
116	248	1877
117	249	1864
118	250	1851
119	250	1838
120	251	1826
121	251	1813
122	252	1801
123	253	1789
124	253	1777
125	254	1766
126	255	1753
127	255	1743
128	256	1732
129	257	1721
130	257	1711
131	258	1702
132	259	1691
133	260	1681
134	260	1672
135	261	1662
136	262	1652
137	262	1642
138	263	1633
139	264	1624
140	265	1614
141	265	1604
142	266	1595
143	266	1586
144	267	1577
145	268	1568
146	268	1559
147	269	1551
148	270	1543
149	270	1535
150	271	1527
151	272	1519
152	273	1512
153	273	1505
154	274	1497
155	275	1489
156	276	1482
157	276	1474
158	277	1467
159	278	1460
160	278	1452
161	279	1445
162	280	1438
163	282	1438
164	282	1432
165	283	1425
166	284	1419
167	285	1412
168	285	1406
169	286	1399
170	288	1399
171	289	1394
172	290	1388
173	291	1382
174	292	1376
175	292	1370
176	293	1364
177	294	1358
178	294	1352
179	295	1346
180	296	1340
181	296	1334
182	297	1328
183	298	1322
184	298	1316
185	299	1311
186	300	1305
187	301	1303
188	303	1300
189	304	1297
190	305	1293
191	306	1289
192	307	1284
193	307	1279
194	308	1275
195	309	1270
196	310	1265
197	311	1261
198	312	1256
199	313	1252
200	313	1247
201	314	1243
202	315	1239
203	316	1235
204	318	1233
205	319	1232
206	320	1228
207	321	1224
208	322	1220
209	323	1216
210	324	1212
211	325	1209
212	326	1204
213	326	1200
214	327	1196
215	328	1192
216	329	1187
217	329	1183
218	330	1178
219	331	1174
220	332	1171
221	333	1169
222	334	1165
223	335	1161
224	336	1157
225	336	1154
226	337	1150
227	338	1146
228	339	1142
229	339	1138
230	340	1133
231	341	1130
232	342	1127
233	343	1123
234	344	1119
235	344	1116
236	345	1112
237	346	1110
238	348	1110
239	349	1106
240	350	1103
241	351	1100
242	352	1096
243	352	1093
244	353	1089
245	354	1086
246	355	1082
247	355	1079
248	356	1075
249	357	1072
250	358	1068
251	358	1065
252	359	1061
253	361	1060
254	362	1059
255	364	1059
256	365	1057
257	366	1054
258	367	1050
259	368	1048
260	369	1044
261	369	1041
262	370	1039
263	371	1035
264	372	1032
265	372	1029
266	373	1025
267	374	1022
268	375	1019
269	376	1017
270	377	1014
271	377	1011
272	378	1008
273	379	1005
274	380	1002
275	380	998
276	381	996
277	382	993
278	383	991
279	384	988
280	385	985
281	385	982
282	386	979
283	387	976
284	388	975
285	389	972
286	390	970
287	392	969
288	393	967
289	394	965
290	395	963
291	396	961
292	397	958
293	398	956
294	399	954
295	400	952
296	401	951
297	402	948
298	403	946
299	404	943
300	405	941
301	406	940
302	407	938
303	408	936
304	409	932
305	410	930
306	410	927
307	411	924
308	412	922
309	413	920
310	414	918
311	415	915
312	415	912
313	416	910
314	417	907
315	418	904
316	419	903
317	420	901
318	421	899
319	421	896
320	422	894
321	423	891
322	424	889
323	424	886
324	426	885
325	427	883
326	427	880
327	428	878
328	429	876
329	430	873
330	431	871
331	431	868
332	432	866
333	433	864
334	434	861
335	435	859
336	435	857
337	436	855
338	437	852
339	438	850
340	438	848
341	439	845
342	440	843
343	441	841
344	442	839
345	442	836
346	443	834
347	444	832
348	444	830
349	445	827
350	446	825
351	447	823
352	448	821
353	449	819
354	449	817
355	450	815
356	451	813
357	452	811
358	453	809
359	454	807
360	455	805
361	456	804
362	457	802
363	457	799
364	458	797
365	459	795
366	459	793
367	460	791
368	461	789
369	462	787
370	463	785
371	463	783
372	464	781
373	465	779
374	466	777
375	467	775
376	467	772
377	468	770
378	469	769
379	470	767
380	470	765
381	471	763
382	472	761
383	473	759
384	474	757
385	475	755
386	475	753
387	476	751
388	477	749
389	478	748
390	480	748
391	481	746
392	482	744
393	483	743
394	483	741
395	484	739
396	485	737
397	486	736
398	487	734
399	488	732
400	489	730
401	489	728
402	490	726
403	492	726
404	493	724
405	494	723
406	495	721
407	495	719
408	496	717
409	497	715
410	498	713
411	498	711
412	499	709
413	500	708
414	500	706
415	501	704
416	502	702
417	503	701
418	504	699
419	505	697
420	506	695
421	506	694
422	507	692
423	508	690
424	509	689
425	510	688
426	511	686
427	512	685
428	513	683
429	514	682
430	515	681
431	516	679
432	517	677
433	518	676
434	519	674
435	520	673
436	521	672
437	522	670
438	523	669
439	524	667
440	526	667
441	527	665
442	527	663
443	528	662
444	529	660
445	530	659
446	531	657
447	532	656
448	534	655
449	535	653
450	536	652
451	537	651
452	538	650
453	540	650
454	542	649
455	542	647
456	544	646
457	545	645
458	546	643
459	547	642
460	548	641
461	549	639
462	550	638
463	551	637
464	552	635
465	555	636
466	556	635
467	557	633
468	558	632
469	559	630
470	560	629
471	560	627
472	562	626
473	563	624
474	563	623
475	564	621
476	565	619
477	566	618
478	567	617
479	570	618
480	572	617
481	573	616
482	574	614
483	574	612
484	575	611
485	576	609
486	576	607
487	577	606
488	578	604
489	579	603
490	580	601
491	581	600
492	582	599
493	584	598
494	585	596
495	585	595
496	586	593
497	587	592
498	588	590
499	589	589
500	589	587
501	590	585
502	591	584
503	592	582
504	593	581
505	594	579
506	595	578
507	596	578
508	597	576
509	598	575
510	599	573
511	600	572
512	601	570
513	602	569
514	602	567
515	603	565
516	604	564
517	604	562
518	605	561
519	606	559
520	607	558
521	607	556
522	608	555
523	609	553
524	610	552
525	612	551
526	613	550
527	613	548
528	614	547
529	615	545
530	616	544
531	616	542
532	617	541
533	618	539
534	618	537
535	619	536
536	620	535
537	621	533
538	622	532
539	622	530
540	623	529
541	625	528
542	627	527
543	628	526
544	628	525
545	629	523
546	630	522
547	631	520
548	631	519
549	632	517
550	633	516
551	634	514
552	635	513
553	635	511
554	636	510
555	637	508
556	638	507
557	639	506
558	641	505
559	642	504
560	643	503
561	643	501
562	644	500
563	645	498
564	645	497
565	646	495
566	647	494
567	648	493
568	649	491
569	649	490
570	650	488
571	651	487
572	652	486
573	653	484
574	654	483
575	655	482
576	656	481
577	657	480
578	658	478
579	659	477
580	659	475
581	660	474
582	661	473
583	662	471
584	662	470
585	663	468
586	664	467
587	664	465
588	665	464
589	666	462
590	667	461
591	668	460
592	670	459
593	670	458
594	671	457
595	672	455
596	673	454
597	674	453
598	674	451
599	675	450
600	676	449
601	677	447
602	677	446
603	678	444
604	679	443
605	679	441
606	680	440
607	681	439
608	682	438
609	683	437
610	684	435
611	685	434
612	685	432
613	686	431
614	687	430
615	687	428
616	688	427
617	689	426
618	689	424
619	690	423
620	691	421
621	691	420
622	692	419
623	693	417
624	693	416
625	694	414
626	695	413
627	696	412
628	697	411
629	697	409
630	698	408
631	699	407
632	700	406
633	701	404
634	701	403
635	702	402
636	703	400
637	704	399
638	705	398
639	705	396
640	706	395
641	707	394
642	707	392
643	708	391
644	709	390
645	710	389
646	711	387
647	712	386
648	713	385
649	713	384
650	714	383
651	715	381
652	716	380
653	716	379
654	717	377
655	718	376
656	718	375
657	719	373
658	720	372
659	720	371
660	721	369
661	722	368
662	722	367
663	723	366
664	724	364
665	724	363
666	725	362
667	726	361
668	727	359
669	728	358
670	728	357
671	729	356
672	730	354
673	731	353
674	731	352
675	732	351
676	733	349
677	733	348
678	734	347
679	734	345
680	735	344
681	736	343
682	736	342
683	737	340
684	738	339
685	739	338
686	740	337
687	740	335
688	741	334
689	742	333
690	743	332
691	743	331
692	744	329
693	745	328
694	745	327
695	746	326
696	747	324
697	747	323
698	748	322
699	749	321
700	749	319
701	750	318
702	751	317
703	751	316
704	752	314
705	753	313
706	753	312
707	754	311
708	755	310
709	756	308
710	757	307
711	757	306
712	758	305
713	759	304
714	760	303
715	760	301
716	761	300
717	762	299
718	763	298
719	763	297
720	764	295
721	765	294
722	765	293
723	766	292
724	767	290
725	767	289
726	768	288
727	770	287
728	770	286
729	771	285
730	772	284
731	772	282
732	773	281
733	774	280
734	774	279
735	775	278
736	776	277
737	777	275
738	777	274
739	778	273
740	778	272
741	779	271
742	780	269
743	780	268
744	781	267
745	782	266
746	783	265
747	784	264
748	785	263
749	785	261
750	786	260
751	787	259
752	787	258
753	788	257
754	789	256
755	790	254
756	790	253
757	791	252
758	791	251
759	792	250
760	793	249
761	793	247
762	794	246
763	795	245
764	795	244
765	796	243
766	797	242
767	798	241
768	798	240
769	799	238
770	800	237
771	801	236
772	801	235
773	802	234
774	802	233
775	803	231
776	804	230
777	804	229
778	805	228
779	806	227
780	806	226
781	807	225
782	808	223
783	808	222
784	809	221
785	810	220
786	810	219
787	811	218
788	812	217
789	813	216
790	814	215
791	814	213
792	815	212
793	816	211
794	816	210
795	817	209
796	818	208
797	818	207
798	819	206
799	820	205
800	820	203
801	821	202
802	822	201
803	822	200
804	823	199
805	824	198
806	824	197
807	825	196
808	826	195
809	826	193
810	827	192
811	827	191
812	828	190
813	829	189
814	830	188
815	830	187
816	831	186
817	832	185
818	832	184
819	833	182
820	834	181
821	834	180
822	835	179
823	836	178
824	836	177
825	837	176
826	838	175
827	839	174
828	839	173
829	840	172
830	841	171
831	841	169
832	842	168
833	843	167
834	843	166
835	844	165
836	845	164
837	845	163
838	846	162
839	847	161
840	847	160
841	848	159
842	849	158
843	849	157
844	850	156
845	851	154
846	851	153
847	852	152
848	853	151
849	853	150
850	854	149
851	855	148
852	855	147
853	856	146
854	857	145
855	858	144
856	859	143
857	860	142
858	861	141
859	861	140
860	862	139
861	863	138
862	864	137
863	864	136
864	865	135
865	866	134
866	866	132
867	867	131
868	868	130
869	868	129
870	869	128
871	870	127
872	871	126
873	871	125
874	872	124
875	873	123
876	874	122
877	874	121
878	875	120
879	876	119
880	877	118
881	877	117
882	878	116
883	878	115
884	879	114
885	880	113
886	880	112
887	881	111
888	882	110
889	883	109
890	884	108
891	884	107
892	885	106
893	886	105
894	886	104
895	887	103
896	888	102
897	889	100
898	889	99
899	890	98
900	891	97
901	891	96
902	892	95
903	893	94
904	893	93
905	894	92
906	895	91
907	895	90
908	896	89
909	897	88
910	897	87
911	898	86
912	899	85
913	899	84
914	900	83
915	901	82
916	902	81
917	902	80
918	903	79
919	904	78
920	905	77
921	905	76
922	906	75
923	907	74
924	907	73
925	908	72
926	909	71
927	909	70
928	910	69
929	911	68
930	911	67
931	912	66
932	913	65
933	913	64
934	914	63
935	915	62
936	915	61
937	916	60
938	917	59
939	918	58
940	918	57
941	919	56
942	920	55
943	920	54
944	921	53
945	922	52
946	922	51
947	923	50
948	924	49
949	924	48
950	925	47
951	926	46
952	927	45
953	927	44
954	928	43
955	929	42
956	929	41
957	930	40
958	931	39
959	931	38
960	932	37
961	933	36
962	933	35
963	934	34
964	935	33
965	936	32
966	936	31
967	937	30
968	938	30
969	938	29
970	939	28
971	940	27
972	940	26
973	941	25
974	942	24
975	942	23
976	943	22
977	944	21
978	944	20
979	945	19
980	946	18
981	947	17
982	948	16
983	948	15
984	949	14
985	950	13
986	951	12
987	951	11
988	952	10
989	953	9
990	953	8
991	954	7
992	955	6
993	956	5
994	956	4
995	957	3
996	957	2
997	958	1
998	959	0
999	960	0
